,battery_status_current_a
battery_status_current_a,1.0
sensor_baro_temperature,0.18598390774015836
vehicle_gps_position_alt,0.1771396461290065
vehicle_gps_position_lat,0.06660001046185085
vehicle_acceleration_xyz[1],0.018767349589102207
distance_x,0.00743095150344831
speed_y,0.005649518803137705
speed_z,0.00482085218843271
speed_x,-0.004379178950601855
distance_y,-0.005548321156154802
delta_time_s,-0.007478281418987209
distance_z,-0.007675336661099825
segment_distance_gps,-0.007727345286854822
vehicle_acceleration_xyz[2],-0.027879774028563734
vehicle_gps_position_lon,-0.09606349489396018
sensor_baro_pressure,-0.3204960246139465
vehicle_acceleration_xyz[0],-0.34052369444736263
battery_status_voltage_v,-0.5510926562646357
cumulative_flight_time_s,-0.5800649807428716
total_distance_gps,-0.5995079912667651
